"","Year","Location","Detail","Value"
"1",1998,"Auckland District","Homicide and related offences",11
"2",1998,"Auckland District","Acts intended to cause injury",2963
"3",1998,"Auckland District","Sexual assault and related offences",167
"4",1998,"Auckland District","Dangerous or negligent acts endangering persons",35
"5",1998,"Auckland District","Abduction, harassment and other related offences against a person",784
"6",1998,"Auckland District","Robbery, extortion and related offences",391
"7",1998,"Auckland District","Unlawful entry with intent/burglary, break and enter",10021
"8",1998,"Auckland District","Theft and related offences",24732
"9",1998,"Auckland District","Fraud, deception and related offences",3904
"10",1998,"Auckland District","Illicit drug offences",2639
"11",1998,"Auckland District","Prohibited and regulated weapons and explosives offences",581
"12",1998,"Auckland District","Property damage and environmental pollution",4279
"13",1998,"Auckland District","Public order offences",5002
"14",1998,"Auckland District","Offences against justice procedures, government security and government operations",1502
"15",1998,"Auckland District","Miscellaneous offences",309
"16",1999,"Auckland District","Homicide and related offences",5
"17",1999,"Auckland District","Acts intended to cause injury",2886
"18",1999,"Auckland District","Sexual assault and related offences",148
"19",1999,"Auckland District","Dangerous or negligent acts endangering persons",35
"20",1999,"Auckland District","Abduction, harassment and other related offences against a person",742
"21",1999,"Auckland District","Robbery, extortion and related offences",332
"22",1999,"Auckland District","Unlawful entry with intent/burglary, break and enter",9351
"23",1999,"Auckland District","Theft and related offences",22163
"24",1999,"Auckland District","Fraud, deception and related offences",3444
"25",1999,"Auckland District","Illicit drug offences",2508
"26",1999,"Auckland District","Prohibited and regulated weapons and explosives offences",523
"27",1999,"Auckland District","Property damage and environmental pollution",3562
"28",1999,"Auckland District","Public order offences",4833
"29",1999,"Auckland District","Offences against justice procedures, government security and government operations",1683
"30",1999,"Auckland District","Miscellaneous offences",317
"31",2000,"Auckland District","Homicide and related offences",7
"32",2000,"Auckland District","Acts intended to cause injury",2933
"33",2000,"Auckland District","Sexual assault and related offences",283
"34",2000,"Auckland District","Dangerous or negligent acts endangering persons",50
"35",2000,"Auckland District","Abduction, harassment and other related offences against a person",758
"36",2000,"Auckland District","Robbery, extortion and related offences",383
"37",2000,"Auckland District","Unlawful entry with intent/burglary, break and enter",8827
"38",2000,"Auckland District","Theft and related offences",22582
"39",2000,"Auckland District","Fraud, deception and related offences",4857
"40",2000,"Auckland District","Illicit drug offences",2383
"41",2000,"Auckland District","Prohibited and regulated weapons and explosives offences",535
"42",2000,"Auckland District","Property damage and environmental pollution",3686
"43",2000,"Auckland District","Public order offences",4752
"44",2000,"Auckland District","Offences against justice procedures, government security and government operations",1750
"45",2000,"Auckland District","Miscellaneous offences",276
"46",2001,"Auckland District","Homicide and related offences",10
"47",2001,"Auckland District","Acts intended to cause injury",3350
"48",2001,"Auckland District","Sexual assault and related offences",187
"49",2001,"Auckland District","Dangerous or negligent acts endangering persons",76
"50",2001,"Auckland District","Abduction, harassment and other related offences against a person",963
"51",2001,"Auckland District","Robbery, extortion and related offences",381
"52",2001,"Auckland District","Unlawful entry with intent/burglary, break and enter",9252
"53",2001,"Auckland District","Theft and related offences",24157
"54",2001,"Auckland District","Fraud, deception and related offences",4690
"55",2001,"Auckland District","Illicit drug offences",2282
"56",2001,"Auckland District","Prohibited and regulated weapons and explosives offences",630
"57",2001,"Auckland District","Property damage and environmental pollution",3931
"58",2001,"Auckland District","Public order offences",5694
"59",2001,"Auckland District","Offences against justice procedures, government security and government operations",1755
"60",2001,"Auckland District","Miscellaneous offences",264
"61",2002,"Auckland District","Homicide and related offences",6
"62",2002,"Auckland District","Acts intended to cause injury",3073
"63",2002,"Auckland District","Sexual assault and related offences",211
"64",2002,"Auckland District","Dangerous or negligent acts endangering persons",55
"65",2002,"Auckland District","Abduction, harassment and other related offences against a person",872
"66",2002,"Auckland District","Robbery, extortion and related offences",450
"67",2002,"Auckland District","Unlawful entry with intent/burglary, break and enter",8470
"68",2002,"Auckland District","Theft and related offences",25167
"69",2002,"Auckland District","Fraud, deception and related offences",5696
"70",2002,"Auckland District","Illicit drug offences",2427
"71",2002,"Auckland District","Prohibited and regulated weapons and explosives offences",680
"72",2002,"Auckland District","Property damage and environmental pollution",3927
"73",2002,"Auckland District","Public order offences",6219
"74",2002,"Auckland District","Offences against justice procedures, government security and government operations",1980
"75",2002,"Auckland District","Miscellaneous offences",388
"76",2003,"Auckland District","Homicide and related offences",6
"77",2003,"Auckland District","Acts intended to cause injury",3102
"78",2003,"Auckland District","Sexual assault and related offences",214
"79",2003,"Auckland District","Dangerous or negligent acts endangering persons",49
"80",2003,"Auckland District","Abduction, harassment and other related offences against a person",1081
"81",2003,"Auckland District","Robbery, extortion and related offences",584
"82",2003,"Auckland District","Unlawful entry with intent/burglary, break and enter",9412
"83",2003,"Auckland District","Theft and related offences",25006
"84",2003,"Auckland District","Fraud, deception and related offences",4690
"85",2003,"Auckland District","Illicit drug offences",2681
"86",2003,"Auckland District","Prohibited and regulated weapons and explosives offences",829
"87",2003,"Auckland District","Property damage and environmental pollution",3977
"88",2003,"Auckland District","Public order offences",6426
"89",2003,"Auckland District","Offences against justice procedures, government security and government operations",2057
"90",2003,"Auckland District","Miscellaneous offences",655
"91",2004,"Auckland District","Homicide and related offences",4
"92",2004,"Auckland District","Acts intended to cause injury",2889
"93",2004,"Auckland District","Sexual assault and related offences",196
"94",2004,"Auckland District","Dangerous or negligent acts endangering persons",38
"95",2004,"Auckland District","Abduction, harassment and other related offences against a person",917
"96",2004,"Auckland District","Robbery, extortion and related offences",519
"97",2004,"Auckland District","Unlawful entry with intent/burglary, break and enter",9286
"98",2004,"Auckland District","Theft and related offences",21604
"99",2004,"Auckland District","Fraud, deception and related offences",4319
"100",2004,"Auckland District","Illicit drug offences",2392
"101",2004,"Auckland District","Prohibited and regulated weapons and explosives offences",649
"102",2004,"Auckland District","Property damage and environmental pollution",3523
"103",2004,"Auckland District","Public order offences",5247
"104",2004,"Auckland District","Offences against justice procedures, government security and government operations",1755
"105",2004,"Auckland District","Miscellaneous offences",217
"106",2005,"Auckland District","Homicide and related offences",11
"107",2005,"Auckland District","Acts intended to cause injury",3223
"108",2005,"Auckland District","Sexual assault and related offences",221
"109",2005,"Auckland District","Dangerous or negligent acts endangering persons",30
"110",2005,"Auckland District","Abduction, harassment and other related offences against a person",940
"111",2005,"Auckland District","Robbery, extortion and related offences",468
"112",2005,"Auckland District","Unlawful entry with intent/burglary, break and enter",8872
"113",2005,"Auckland District","Theft and related offences",22624
"114",2005,"Auckland District","Fraud, deception and related offences",2377
"115",2005,"Auckland District","Illicit drug offences",2476
"116",2005,"Auckland District","Prohibited and regulated weapons and explosives offences",862
"117",2005,"Auckland District","Property damage and environmental pollution",3883
"118",2005,"Auckland District","Public order offences",4990
"119",2005,"Auckland District","Offences against justice procedures, government security and government operations",2438
"120",2005,"Auckland District","Miscellaneous offences",200
"121",2006,"Auckland District","Homicide and related offences",6
"122",2006,"Auckland District","Acts intended to cause injury",3015
"123",2006,"Auckland District","Sexual assault and related offences",296
"124",2006,"Auckland District","Dangerous or negligent acts endangering persons",49
"125",2006,"Auckland District","Abduction, harassment and other related offences against a person",955
"126",2006,"Auckland District","Robbery, extortion and related offences",663
"127",2006,"Auckland District","Unlawful entry with intent/burglary, break and enter",8748
"128",2006,"Auckland District","Theft and related offences",22764
"129",2006,"Auckland District","Fraud, deception and related offences",2679
"130",2006,"Auckland District","Illicit drug offences",2661
"131",2006,"Auckland District","Prohibited and regulated weapons and explosives offences",966
"132",2006,"Auckland District","Property damage and environmental pollution",3913
"133",2006,"Auckland District","Public order offences",4606
"134",2006,"Auckland District","Offences against justice procedures, government security and government operations",2869
"135",2006,"Auckland District","Miscellaneous offences",104
"136",2007,"Auckland District","Homicide and related offences",6
"137",2007,"Auckland District","Acts intended to cause injury",3168
"138",2007,"Auckland District","Sexual assault and related offences",297
"139",2007,"Auckland District","Dangerous or negligent acts endangering persons",59
"140",2007,"Auckland District","Abduction, harassment and other related offences against a person",1092
"141",2007,"Auckland District","Robbery, extortion and related offences",602
"142",2007,"Auckland District","Unlawful entry with intent/burglary, break and enter",8151
"143",2007,"Auckland District","Theft and related offences",24181
"144",2007,"Auckland District","Fraud, deception and related offences",3128
"145",2007,"Auckland District","Illicit drug offences",2331
"146",2007,"Auckland District","Prohibited and regulated weapons and explosives offences",766
"147",2007,"Auckland District","Property damage and environmental pollution",4974
"148",2007,"Auckland District","Public order offences",5257
"149",2007,"Auckland District","Offences against justice procedures, government security and government operations",3004
"150",2007,"Auckland District","Miscellaneous offences",171
"151",2008,"Auckland District","Homicide and related offences",8
"152",2008,"Auckland District","Acts intended to cause injury",3380
"153",2008,"Auckland District","Sexual assault and related offences",224
"154",2008,"Auckland District","Dangerous or negligent acts endangering persons",42
