YEAR,Average Income from All Sources collected TR,Median Income from All Sources collected TR,Number of households (000) TR,Average Income from All Sources collected NORTHLAND,Median Income from All Sources collected NORTHLAND,Number of households (000) NORTHLAND,Average Income from All Sources collected AUCKLAND,Median Income from All Sources collected AUCKLAND,Number of households (000) AUCKLAND,Average Income from All Sources collected WAIKATO,Median Income from All Sources WAIKATO,Number of households (000) WAIKATO,Average Income from All Sources collected BOP,Median Income from All Sources collected BOP,Number of households (000) BOP,Average Income from All Sources collected GIS/ HAWKES,Median Income from All Sources collected GIS/HAWKES,Number of households (000) GIS/HAWKS,Average Income from All Sources collected TARANAKI,Median Income from All Sources collected TARANAKI,Number of households (000) TARANAKI,Average Income from All Sources collected MANAWATU/WHANGANUI,Median Income from All Sources collected MANAWATU/WHANGANUI,Number of households (000) MANAWATU/WHANGANUI,Average Income from All Sources collected WELLINGTON,Median Income from All Sources collected WELLINGTON,Number of households (000) WELLINGTON,Average Income from All Sources collected TAS/NEL/MAL/WC,Median Income from All Sources collected TAS/NEL/MAL/WC,Number of households (000) TAS/NEL/MAL/WC,Average Income from All Sources collected CANTERBURY,Median Income from All Sources collected CANTERBURY,Number of households (000) CANTERBURY,Average Income from All Sources collected OTAGO,Median Income from All Sources collected OTAGO,Number of households (000) OTAGO,Average Income from All Sources collected SOUTHLAND,Median Income from All Sources collected SOUTHLAND,Number of households (000) SOUTHLAND
1998,910,756,1227.2,702,575,45.3,1066,900,368.5,864,729,113.3,841,701,74.7,784,628,63,797,679,34.5,701,608,74.9,1072,910,143.1,757,662,52.2,794,702,159.5,786,690,66.4,937,786,31.8
1999,943,786,1240.1,754,581,45.8,1074,914,376.8,839,720,118.6,865,767,76.6,846,744,61,796,649,34.7,737,643,74.8,1107,959,146.1,800,690,51.4,931,774,160.5,818,675,61.9,846,750,31.9
2000,950,794,1251.1,736,593,45.6,1097,921,384.1,892,770,119.8,815,692,79.9,856,750,59.9,811,686,35,774,614,73.3,1114,950,144.6,828,745,51.9,900,760,164.9,774,654,61.3,834,702,30.9
2001,1012,845,1260.7,786,634,47.8,1162,955,381.7,921,806,119.6,899,729,77.6,879,734,62.9,893,729,35.6,861,719,74.9,1177,1026,147.4,908,825,52.6,934,831,167.3,859,734,63.1,1042,850,30.3
2002,1063,891,1276.9,846,660,46.7,1206,1034,395.5,999,864,121.9,925,767,79.7,902,786,64.5,956,774,35.2,876,711,76.4,1213,1036,149.3,961,859,53,1034,865,161.1,893,775,63.3,1011,895,30.3
2003,1110,912,1312.5,899,761,47.8,1264,1030,412.8,1017,896,126.4,1001,819,80,975,824,64.5,1044,900,35,918,724,76.3,1218,1017,153.5,963,863,53.4,1081,952,166.8,937,769,65.6,1137,936,30.5
2004,1157,959,1341,925,767,46.5,1362,1072,428.7,1081,882,127.2,1001,863,80.3,972,852,65,996,850,35.2,1008,875,73.6,1187,1050,156.1,1022,863,54.3,1112,959,176.3,973,815,66.2,1048,900,31.5
2005,1208,1017,1357.9,1074,850,48.7,1365,1120,433.6,1141,997,127.7,1025,915,78,1016,900,65.7,1132,993,34.8,1026,909,76.1,1251,1074,156.1,1124,946,56.8,1217,1074,179.2,1053,863,69.2,1118,960,32
2006,1248,1080,1381.3,1055,945,49.2,1344,1166,440.6,1192,1074,130.3,1107,959,84.3,1129,1019,64.4,1206,1055,35.1,1023,910,77.7,1360,1168,156.1,1163,1051,55.5,1300,1106,186.8,1161,960,68.5,1148,1012,32.8
2007,1345,1151,1393.1,1174,960,50.3,1425,1218,450.7,1300,1128,128.5,1242,1108,82.1,1168,1072,63.5,1272,1151,35.3,1098,973,75.9,1588,1310,164.6,1268,1130,55.2,1327,1167,186,1182,1036,68.5,1257,1130,32.3
