"","Year","Location","Detail","Value"
"1",1998,"Northland District","Homicide and related offences",3
"2",1998,"Northland District","Acts intended to cause injury",1234
"3",1998,"Northland District","Sexual assault and related offences",114
"4",1998,"Northland District","Dangerous or negligent acts endangering persons",37
"5",1998,"Northland District","Abduction, harassment and other related offences against a person",330
"6",1998,"Northland District","Robbery, extortion and related offences",71
"7",1998,"Northland District","Unlawful entry with intent/burglary, break and enter",2658
"8",1998,"Northland District","Theft and related offences",5572
"9",1998,"Northland District","Fraud, deception and related offences",591
"10",1998,"Northland District","Illicit drug offences",1473
"11",1998,"Northland District","Prohibited and regulated weapons and explosives offences",292
"12",1998,"Northland District","Property damage and environmental pollution",1307
"13",1998,"Northland District","Public order offences",1070
"14",1998,"Northland District","Offences against justice procedures, government security and government operations",906
"15",1998,"Northland District","Miscellaneous offences",69
"16",1999,"Northland District","Homicide and related offences",11
"17",1999,"Northland District","Acts intended to cause injury",1273
"18",1999,"Northland District","Sexual assault and related offences",101
"19",1999,"Northland District","Dangerous or negligent acts endangering persons",22
"20",1999,"Northland District","Abduction, harassment and other related offences against a person",385
"21",1999,"Northland District","Robbery, extortion and related offences",55
"22",1999,"Northland District","Unlawful entry with intent/burglary, break and enter",2383
"23",1999,"Northland District","Theft and related offences",5644
"24",1999,"Northland District","Fraud, deception and related offences",623
"25",1999,"Northland District","Illicit drug offences",1804
"26",1999,"Northland District","Prohibited and regulated weapons and explosives offences",303
"27",1999,"Northland District","Property damage and environmental pollution",1550
"28",1999,"Northland District","Public order offences",1285
"29",1999,"Northland District","Offences against justice procedures, government security and government operations",1033
"30",1999,"Northland District","Miscellaneous offences",72
"31",2000,"Northland District","Homicide and related offences",4
"32",2000,"Northland District","Acts intended to cause injury",1360
"33",2000,"Northland District","Sexual assault and related offences",101
"34",2000,"Northland District","Dangerous or negligent acts endangering persons",35
"35",2000,"Northland District","Abduction, harassment and other related offences against a person",382
"36",2000,"Northland District","Robbery, extortion and related offences",68
"37",2000,"Northland District","Unlawful entry with intent/burglary, break and enter",2338
"38",2000,"Northland District","Theft and related offences",5273
"39",2000,"Northland District","Fraud, deception and related offences",568
"40",2000,"Northland District","Illicit drug offences",1746
"41",2000,"Northland District","Prohibited and regulated weapons and explosives offences",318
"42",2000,"Northland District","Property damage and environmental pollution",1503
"43",2000,"Northland District","Public order offences",1645
"44",2000,"Northland District","Offences against justice procedures, government security and government operations",1149
"45",2000,"Northland District","Miscellaneous offences",61
"46",2001,"Northland District","Homicide and related offences",5
"47",2001,"Northland District","Acts intended to cause injury",1386
"48",2001,"Northland District","Sexual assault and related offences",89
"49",2001,"Northland District","Dangerous or negligent acts endangering persons",36
"50",2001,"Northland District","Abduction, harassment and other related offences against a person",483
"51",2001,"Northland District","Robbery, extortion and related offences",73
"52",2001,"Northland District","Unlawful entry with intent/burglary, break and enter",1998
"53",2001,"Northland District","Theft and related offences",5110
"54",2001,"Northland District","Fraud, deception and related offences",498
"55",2001,"Northland District","Illicit drug offences",1890
"56",2001,"Northland District","Prohibited and regulated weapons and explosives offences",311
"57",2001,"Northland District","Property damage and environmental pollution",1620
"58",2001,"Northland District","Public order offences",1785
"59",2001,"Northland District","Offences against justice procedures, government security and government operations",964
"60",2001,"Northland District","Miscellaneous offences",54
"61",2002,"Northland District","Homicide and related offences",2
"62",2002,"Northland District","Acts intended to cause injury",1393
"63",2002,"Northland District","Sexual assault and related offences",125
"64",2002,"Northland District","Dangerous or negligent acts endangering persons",27
"65",2002,"Northland District","Abduction, harassment and other related offences against a person",460
"66",2002,"Northland District","Robbery, extortion and related offences",89
"67",2002,"Northland District","Unlawful entry with intent/burglary, break and enter",2281
"68",2002,"Northland District","Theft and related offences",5567
"69",2002,"Northland District","Fraud, deception and related offences",648
"70",2002,"Northland District","Illicit drug offences",1618
"71",2002,"Northland District","Prohibited and regulated weapons and explosives offences",262
"72",2002,"Northland District","Property damage and environmental pollution",1895
"73",2002,"Northland District","Public order offences",1625
"74",2002,"Northland District","Offences against justice procedures, government security and government operations",1148
"75",2002,"Northland District","Miscellaneous offences",132
"76",2003,"Northland District","Homicide and related offences",6
"77",2003,"Northland District","Acts intended to cause injury",1451
"78",2003,"Northland District","Sexual assault and related offences",79
"79",2003,"Northland District","Dangerous or negligent acts endangering persons",35
"80",2003,"Northland District","Abduction, harassment and other related offences against a person",466
"81",2003,"Northland District","Robbery, extortion and related offences",49
"82",2003,"Northland District","Unlawful entry with intent/burglary, break and enter",2074
"83",2003,"Northland District","Theft and related offences",5034
"84",2003,"Northland District","Fraud, deception and related offences",557
"85",2003,"Northland District","Illicit drug offences",1381
"86",2003,"Northland District","Prohibited and regulated weapons and explosives offences",292
"87",2003,"Northland District","Property damage and environmental pollution",1756
"88",2003,"Northland District","Public order offences",1789
"89",2003,"Northland District","Offences against justice procedures, government security and government operations",1165
"90",2003,"Northland District","Miscellaneous offences",36
"91",2004,"Northland District","Homicide and related offences",1
"92",2004,"Northland District","Acts intended to cause injury",1444
"93",2004,"Northland District","Sexual assault and related offences",94
"94",2004,"Northland District","Dangerous or negligent acts endangering persons",29
"95",2004,"Northland District","Abduction, harassment and other related offences against a person",448
"96",2004,"Northland District","Robbery, extortion and related offences",89
"97",2004,"Northland District","Unlawful entry with intent/burglary, break and enter",2263
"98",2004,"Northland District","Theft and related offences",4780
"99",2004,"Northland District","Fraud, deception and related offences",523
"100",2004,"Northland District","Illicit drug offences",1160
"101",2004,"Northland District","Prohibited and regulated weapons and explosives offences",257
"102",2004,"Northland District","Property damage and environmental pollution",1508
"103",2004,"Northland District","Public order offences",1426
"104",2004,"Northland District","Offences against justice procedures, government security and government operations",1030
"105",2004,"Northland District","Miscellaneous offences",28
"106",2005,"Northland District","Homicide and related offences",2
"107",2005,"Northland District","Acts intended to cause injury",1448
"108",2005,"Northland District","Sexual assault and related offences",110
"109",2005,"Northland District","Dangerous or negligent acts endangering persons",23
"110",2005,"Northland District","Abduction, harassment and other related offences against a person",510
"111",2005,"Northland District","Robbery, extortion and related offences",101
"112",2005,"Northland District","Unlawful entry with intent/burglary, break and enter",2497
"113",2005,"Northland District","Theft and related offences",4971
"114",2005,"Northland District","Fraud, deception and related offences",359
"115",2005,"Northland District","Illicit drug offences",1279
"116",2005,"Northland District","Prohibited and regulated weapons and explosives offences",362
"117",2005,"Northland District","Property damage and environmental pollution",1744
"118",2005,"Northland District","Public order offences",1332
"119",2005,"Northland District","Offences against justice procedures, government security and government operations",677
"120",2005,"Northland District","Miscellaneous offences",28
"121",2006,"Northland District","Homicide and related offences",4
"122",2006,"Northland District","Acts intended to cause injury",1539
"123",2006,"Northland District","Sexual assault and related offences",104
"124",2006,"Northland District","Dangerous or negligent acts endangering persons",24
"125",2006,"Northland District","Abduction, harassment and other related offences against a person",492
"126",2006,"Northland District","Robbery, extortion and related offences",119
"127",2006,"Northland District","Unlawful entry with intent/burglary, break and enter",2437
"128",2006,"Northland District","Theft and related offences",4924
"129",2006,"Northland District","Fraud, deception and related offences",316
"130",2006,"Northland District","Illicit drug offences",815
"131",2006,"Northland District","Prohibited and regulated weapons and explosives offences",328
"132",2006,"Northland District","Property damage and environmental pollution",1826
"133",2006,"Northland District","Public order offences",1487
"134",2006,"Northland District","Offences against justice procedures, government security and government operations",700
"135",2006,"Northland District","Miscellaneous offences",31
"136",2007,"Northland District","Homicide and related offences",4
"137",2007,"Northland District","Acts intended to cause injury",1827
"138",2007,"Northland District","Sexual assault and related offences",106
"139",2007,"Northland District","Dangerous or negligent acts endangering persons",20
"140",2007,"Northland District","Abduction, harassment and other related offences against a person",491
"141",2007,"Northland District","Robbery, extortion and related offences",106
"142",2007,"Northland District","Unlawful entry with intent/burglary, break and enter",2472
"143",2007,"Northland District","Theft and related offences",4395
"144",2007,"Northland District","Fraud, deception and related offences",332
"145",2007,"Northland District","Illicit drug offences",1279
"146",2007,"Northland District","Prohibited and regulated weapons and explosives offences",350
"147",2007,"Northland District","Property damage and environmental pollution",1927
"148",2007,"Northland District","Public order offences",1818
"149",2007,"Northland District","Offences against justice procedures, government security and government operations",736
"150",2007,"Northland District","Miscellaneous offences",22
"151",2008,"Northland District","Homicide and related offences",4
"152",2008,"Northland District","Acts intended to cause injury",1918
"153",2008,"Northland District","Sexual assault and related offences",139
"154",2008,"Northland District","Dangerous or negligent acts endangering persons",32
"155",2008,"Northland District","Abduction, harassment and other related offences against a person",542
"156",2008,"Northland District","Robbery, extortion and related offences",103
"157",2008,"Northland District","Unlawful entry with intent/burglary, break and enter",2103
"158",2008,"Northland District","Theft and related offences",4028
"159",2008,"Northland District","Fraud, deception and related offences",476
"160",2008,"Northland District","Illicit drug offences",1422
"161",2008,"Northland District","Prohibited and regulated weapons and explosives offences",402
"162",2008,"Northland District","Property damage and environmental pollution",2076
"163",2008,"Northland District","Public order offences",1866
"164",2008,"Northland District","Offences against justice procedures, government security and government operations",727
"165",2008,"Northland District","Miscellaneous offences",37
"166",2009,"Northland District","Homicide and related offences",4
"167",2009,"Northland District","Acts intended to cause injury",1994
"168",2009,"Northland District","Sexual assault and related offences",136
"169",2009,"Northland District","Dangerous or negligent acts endangering persons",17
"170",2009,"Northland District","Abduction, harassment and other related offences against a person",530
"171",2009,"Northland District","Robbery, extortion and related offences",97
"172",2009,"Northland District","Unlawful entry with intent/burglary, break and enter",2572
"173",2009,"Northland District","Theft and related offences",4340
"174",2009,"Northland District","Fraud, deception and related offences",518
"175",2009,"Northland District","Illicit drug offences",1986
"176",2009,"Northland District","Prohibited and regulated weapons and explosives offences",385
"177",2009,"Northland District","Property damage and environmental pollution",2098
"178",2009,"Northland District","Public order offences",1714
"179",2009,"Northland District","Offences against justice procedures, government security and government operations",720
"180",2009,"Northland District","Miscellaneous offences",42
"181",2010,"Northland District","Homicide and related offences",2
"182",2010,"Northland District","Acts intended to cause injury",1999
"183",2010,"Northland District","Sexual assault and related offences",121
"184",2010,"Northland District","Dangerous or negligent acts endangering persons",39
"185",2010,"Northland District","Abduction, harassment and other related offences against a person",546
"186",2010,"Northland District","Robbery, extortion and related offences",67
"187",2010,"Northland District","Unlawful entry with intent/burglary, break and enter",2788
"188",2010,"Northland District","Theft and related offences",4572
"189",2010,"Northland District","Fraud, deception and related offences",483
"190",2010,"Northland District","Illicit drug offences",1558
"191",2010,"Northland District","Prohibited and regulated weapons and explosives offences",398
"192",2010,"Northland District","Property damage and environmental pollution",2137
"193",2010,"Northland District","Public order offences",1596
"194",2010,"Northland District","Offences against justice procedures, government security and government operations",664
"195",2010,"Northland District","Miscellaneous offences",24
"196",2011,"Northland District","Homicide and related offences",2
"197",2011,"Northland District","Acts intended to cause injury",1916
"198",2011,"Northland District","Sexual assault and related offences",162
"199",2011,"Northland District","Dangerous or negligent acts endangering persons",48
"200",2011,"Northland District","Abduction, harassment and other related offences against a person",492
"201",2011,"Northland District","Robbery, extortion and related offences",95
"202",2011,"Northland District","Unlawful entry with intent/burglary, break and enter",2717
"203",2011,"Northland District","Theft and related offences",4084
"204",2011,"Northland District","Fraud, deception and related offences",283
"205",2011,"Northland District","Illicit drug offences",1215
"206",2011,"Northland District","Prohibited and regulated weapons and explosives offences",327
"207",2011,"Northland District","Property damage and environmental pollution",1638
"208",2011,"Northland District","Public order offences",1555
"209",2011,"Northland District","Offences against justice procedures, government security and government operations",643
"210",2011,"Northland District","Miscellaneous offences",34
"211",2012,"Northland District","Homicide and related offences",4
"212",2012,"Northland District","Acts intended to cause injury",2198
"213",2012,"Northland District","Sexual assault and related offences",210
"214",2012,"Northland District","Dangerous or negligent acts endangering persons",48
"215",2012,"Northland District","Abduction, harassment and other related offences against a person",696
"216",2012,"Northland District","Robbery, extortion and related offences",93
"217",2012,"Northland District","Unlawful entry with intent/burglary, break and enter",2339
"218",2012,"Northland District","Theft and related offences",3793
"219",2012,"Northland District","Fraud, deception and related offences",217
"220",2012,"Northland District","Illicit drug offences",1299
"221",2012,"Northland District","Prohibited and regulated weapons and explosives offences",369
"222",2012,"Northland District","Property damage and environmental pollution",1704
"223",2012,"Northland District","Public order offences",1636
"224",2012,"Northland District","Offences against justice procedures, government security and government operations",727
"225",2012,"Northland District","Miscellaneous offences",22
"226",2013,"Northland District","Homicide and related offences",6
"227",2013,"Northland District","Acts intended to cause injury",2109
"228",2013,"Northland District","Sexual assault and related offences",180
"229",2013,"Northland District","Dangerous or negligent acts endangering persons",31
"230",2013,"Northland District","Abduction, harassment and other related offences against a person",743
"231",2013,"Northland District","Robbery, extortion and related offences",92
"232",2013,"Northland District","Unlawful entry with intent/burglary, break and enter",2688
"233",2013,"Northland District","Theft and related offences",4337
"234",2013,"Northland District","Fraud, deception and related offences",367
